,id,thumbnail,title,genre,author,regi_date,recent_update_date,episode_cnt,view_cnt,recommend_cnt,char_cnt,like_regi_cnt,synopsis,tag
360129,360129,//cdn1.munpia.com/tpl/novel/core/covers/newfantasy.jpg,게임 속 천재 초능력자가 ...,"['현대판타지', '판타지']",월터페인,2023.04.26 16:00,2023.04.26 16:01,1,1,0,5501,0,게임 폐인 정우는 아케인펑크 속 세계의 천재 초능력자가 되었다.,"['#현대판타지', '#스팀펑크', '#이세계', '#초능력', '#해결사']"
348626,348626,//cdn1.munpia.com/files/attach/2023/0201/002/rOqQ7pD45ONRSf0I.jpg,10년을 잃고 너를 구할 수 ...,"['로맨스', '공포·미스테리']",카히룬,2023.02.01 10:23,2023.04.26 16:00,22,419,3,103772,3,"(연재주기 수,토-> 잘써지는 날엔 월,수,토)  -10년을 잃고 너를 구할 수 있다면.-  비가 오던 어느 날 진수에게 들려온 부고는 진수의 정신을 갉아먹었습니다.  바로 진수의 소꿉친구 수연이가 자살했다는 이야기입니다.  태어났을 때부터 18년동안이나 함께 지낸 소꿉친구 수연이  평소엔 그냥 친구라서 몰랐지만, 수연이가 죽고나서야 수연이를 얼마나 사랑했는지 깨달았네요.  유일한 단서는 수연이가 적은 일기장 밖에 없고  가장 의심가는 수연이 반 학생들은 모두가 시치미를 뗀채 아무말도 안합니다.   그렇게 경찰도 자살로 단정짓고, 진수는 절망했죠.  수연이와 어린시절에 놀던 대교를 지나가던 진수는 슬픔을 이겨내지 못하고 깊은 강물로 뛰어듭니다.  그런데 진수가 깨어난 곳은 강물이 아니라, 빨간색 시계모양 쇼파네요.  ""내 이야기를 들어볼래 소년?.""","['#판타지', '#드라마', '#추리', '#공포_미스터리', '#복수', '#오컬트', '#음모', '#후회', '#로맨스', '#타임루프']"
360006,360006,//cdn1.munpia.com/tpl/novel/core/covers/heroism.jpg,은퇴복서는 황보세가 권왕...,"['무협', '판타지']",규동이,2023.04.25 14:57,2023.04.26 15:58,2,56,0,10063,4,은퇴한 복서 이 강 민. 황보세가의 사공자로 전생했다. 현대의 권투를 접목한 신공으로 무림의 권왕이 되리라,"['#무협', '#천마', '#전생', '#환생', '#무인', '#검은머리', '#동양판타지']"
360020,360020,//cdn1.munpia.com/tpl/novel/core/covers/fusion.jpg,백작가의 무공 천재,"['퓨전', '판타지']",개쓰,1 회,6,,,,,1,"한 평생 애증하던 게임 속 세상에 떨어졌다.  “좃 됐네.”  지나가던 삼류… 아니, 하류인생 악역으로….","['#판타지', '#퓨전', '#먼치킨']"
340599,340599,//cdn1.munpia.com/tpl/novel/core/covers/history-06.jpg,노량에서 쓰러진 삼도수군...,"['대체역사', '전쟁·밀리터리']",퐂흐스,2022.11.20 20:11,2023.04.26 15:35,136,46868,988,795059,156,"1598년 노량 앞바다, 삼도수군통제사 이순신이 이끄는 연합수군이 일본 수군과 치열한 전투를 벌인다. 그리고 전투 끝에, 이순신은 적의 흉탄에 맞아 전사하고 만다.  그런데 그렇게 죽은 이순신은 어찌하여 옛 중국 후한의 마지막 황제가 되어 다시 깨어났는가?","['#대체역사', '#전쟁_밀리터리', '#복수', '#삼국지', '#정치', '#환생', '#회귀', '#군주', '#무인', '#먼치킨']"
353829,353829,//cdn1.munpia.com/tpl/novel/core/covers/heroism.jpg,천마에겐 암행이 필요하다.,['무협'],공화성,2023.03.08 10:59,2023.04.26 15:30,34,3390,0,190387,11,"사천성 미산현에서 홀어머니를 모시며 살고있는 소년 조운은 억울한 빚살이에 고통받는다. 도저히 갚을 수 없을 정도로 빚이 늘어나자, 돌아가신 아버지의 동료에게 도움을 청하러 찾아간다. 조운은 그의 원한을 풀어주는 대가로 가르침을 받게되고, 원한을 풀기 위한 결행일이 다가오자 사지로 떠나게 되는데...  * * *  매주 수~일 15시30분 업로드","['#무협', '#복수']"
359123,359123,//cdn1.munpia.com/tpl/novel/core/covers/fantasy.jpg,100억 받고 이세계 검성된 썰,['판타지'],와작,2023.04.17 16:47,2023.04.26 15:23,7,145,26,40776,9,100억을 받는 조건으로 이세계에 갔다.,[]
357508,357508,//cdn1.munpia.com/files/attach/2023/0420/000/f4gvhzldBs3gEWGw.jpg,왕위계승자가 독립운동을 ...,"['판타지', '로맨스']",글먹돈냥이,2023.04.05 14:50,2023.04.26 15:20,24,228,5,133569,0,"[쪼르륵]  가느다란 차 줄기를 따라 은은한 향이 퍼진다. 아침 일과를 마친 세레나는 창 밖을 바라보며 혼자만의 티타임을 갖고 있었다.  트로니아와 일루나가 합병 한지 4년이 지났다. 그동안 여관 종업원으로 일하면서 정체를 숨긴 채 지내왔지만 이제는 결단을 내릴 때였다.  트로니아에서 사라진 왕위계승자로 돌아가 왕위를 되찾아야 한다.  누구도 그녀에게 의무를 지어주지 않았지만 왕위계승자이기에 스스로에게 다짐했다. 때가 되면 트로니아로 돌아가 정체를 밝히고 나라를 되찾겠다고....  세레나는 낮은 한숨을 쉬며 느긋하게 차를 한모금 머금었다.  지금 이 시간이 너무 행복하다는 것은 부정 할 수 없었다. 사람들과 어울리는 것보다는 혼자 차를 마시거나 책을 읽는 것이 행복하고 복잡한 싸움과 논쟁에 끼어는 것보다는 홀로 집안일을 하는 것이 좋았다.  하지만...   ""이유가 없습니다. 트로니아 인이라고 학살한 거에요."" ""계속 일루나에서 살았는데 이제와서 트로니아 인이니까 나가라니..."" ""그것들이 무슨 관료인가! 위험해지니까 지들 몸부터 챙기드만!!""   더이상 국민들을 내버려 둘 수는 없다.  내 국민은 내가 챙겨야지. 나는 트로니아의 왕이 될 사람이니까...  세레나는 자리에서 일어났다. 그리고 천천히 차를 즐겼던 자리를 정돈했다.  ""시작하자. 트로니아로 갈 시간이야.""   ##내 사랑은 내 힘으로 쟁취하고 내 운명도 내 힘으로 개척해 나가는 다양한 캐릭터들의 서사가 펼쳐집니다!!##  #여주판 #군상극 #캐릭터맛집 #매력남 #서사맛집","['#판타지', '#마법', '#전쟁', '#로맨스판타지', '#서양판타지', '#독립군']"
358792,358792,//cdn1.munpia.com/files/attach/2023/0414/002/9VlngVc7iqDIPyNx.jpg,숲을 나서면 왕의 자리,"['판타지', '전쟁·밀리터리']",미슬린,2023.04.14 20:34,2023.04.26 15:15,10,117,0,51298,4,"봄이 오면 할 일이 딱 하나 있다. 자신의 목을 앞뒤로 깨끗이 닦을 것. 출세하면 앞 목에 메달이 붙을 것이오, 낙방하면 뒷 목에 매듭이 달릴 터. 가능성의 그대, 몸가짐에 언제나 주의하시길.","['#판타지', '#전쟁_밀리터리', '#경영', '#영지', '#음모', '#힐링', '#서양판타지']"
360125,360125,//cdn1.munpia.com/files/attach/2023/0426/004/NLq1nIZFJqpRvPPw.jpg,2090년 낙원도시,['현대판타지'],K1ng,2023.04.26 15:12,2023.04.26 15:15,5,0,0,25660,1,검이 국가적인 활동이 된 미래였다.,[]
358401,358401,//cdn1.munpia.com/files/attach/2023/0411/003/xfhIERiO7Tygow22.png,신음참기 Lv.999,"['현대판타지', '라이트노벨']",티티뮤레,2023.04.11 22:06,2023.04.26 15:14,14,150,0,79310,2,"신음을 들으면 강해지고 신음을 내면 약해진다.  어제까지 최강자였지만, 낯선 지구에 떨어져 신음을 구걸하는 신세가 되다.",[]
351705,351705,//cdn1.munpia.com/tpl/novel/core/covers/fantasy.jpg,멸망한 세계의 유산을 찾았...,"['판타지', '전쟁·밀리터리']",아만티,2023.02.22 01:51,2023.04.26 15:10,69,20116,412,373827,104,왕국의 위기에  전쟁터에 간 로크는  멸망한 세계의 유산을 얻게 되고,"['#판타지', '#복수', '#이세계', '#전쟁', '#기사', '#모험가', '#능력자', '#소드마스터', '#각성', '#나혼자']"
355013,355013,//cdn1.munpia.com/tpl/novel/core/covers/newfantasy.jpg,소매치기가 복수를 잘함,['현대판타지'],달빛고냥,2023.03.17 14:30,2023.04.26 15:05,43,5603,180,272284,43,16살 배운거라곤 소매치기밖에 없었다.  그런 내가 흥신소로 들어가서 세상에 복수한다.,"['#현대판타지', '#복수', '#망나니']"
358493,358493,//cdn1.munpia.com/tpl/novel/core/covers/fantasy-02.jpg,망나니가 갑자기 모든 검술...,"['판타지', '퓨전']",커피창고,2023.04.12 15:48,2023.04.26 15:01,17,1271,44,160212,22,"내 소설을 그대로 베낀 표절작 속으로 떨어졌다. 곧 처참하게 죽을 삼류 악당 엑스트라, 시한부 망나니 도련님으로. 하지만 원작가인 내가 만든 이 시한부 망나니에는, 여러가지 비밀들이 존재한다.","['#게임', '#빙의', '#사이다', '#전쟁', '#회귀', '#기사', '#작가', '#망나니', '#시한부', '#상태창']"
358312,358312,//cdn1.munpia.com/files/attach/2023/0411/000/Vijl4KnvSRhhdKe1.jpeg,사이버펑크 아이돌로 살아...,"['현대판타지', '퓨전']",검정라면,15 회,"2,824",,,,,142,"입가에 거품을 물고 쓰러진 남자. 창백하게 질린 얼굴, 뛰지 않는 맥박. 죽은 것이 확실한 이 남자는 뉴 서울 시티의 유명 아이돌 그룹 [Memory]의 멤버, 유성. 정확히 3시간 전, 내가 맡게 된 아이돌이다.  …지금부터 내가 이 남자가 되어야만 한다.","['#퓨전', '#SF', '#드라마', '#디스토피아', '#사이버펑크', '#생존', '#아이돌']"
358773,358773,//cdn1.munpia.com/tpl/novel/core/covers/mystery.jpg,살아남은 사람들,"['공포·미스테리', '일반소설']",짜글이,20 회,188,,,,,2,좀비,[]
351238,351238,//cdn1.munpia.com/tpl/novel/core/covers/history-03.jpg,신삼국지 조식전,"['대체역사', '퓨전']",인자니,2023.02.19 00:23,2023.04.26 14:52,60,16811,277,288505,97,꿈을 꾸었다. 천하를 통일하지는 못했지만 자신의 가문이 가장 방대한 세력을 가졌던 시절의 꿈을 말이다.  하지만 현실은....,"['#퓨전', '#무협', '#대체역사', '#추리', '#고구마', '#빙의', '#삼국지', '#전생', '#동양판타지', '#순애']"
345765,345765,//cdn1.munpia.com/tpl/novel/core/covers/heroism-13.jpg,전생자가 강호에서 군림하...,['무협'],봉미,43 회,"28,518",,,,,68,깊고 깊은 죽음의 잠에서 깨어나 보니 내가 되살아났음을 알수 있었다. 헌데... 전생의 기억이 온전치는 않았다. 단지 떠오르는 것은 흉수의 칼날뿐.,"['#무협', '#사이다', '#환생', '#먼치킨']"
359161,359161,//cdn1.munpia.com/tpl/novel/core/covers/general.jpg,사족보행 그녀석,"['일반소설', '중·단편']",대잔치,10 회,91,,,,,1,7화부터는 주인공이 다른 사람이고 시대도 다릅니다. 참고 부탁드릴게욘,['#공포_미스터리']
359984,359984,//cdn1.munpia.com/files/attach/2023/0425/001/7V5OnnTzlOjSg2oF.jpg,나 혼자만 마법사!,"['판타지', '현대판타지']",서영하,2023.04.25 13:45,2023.04.26 14:20,2,24,6,10886,4,마법 배우랴! 복수하랴! 힘내라 애송이 마법사!,"['#판타지', '#현대판타지', '#마법사', '#흑마법사', '#마녀', '#마왕', '#나혼자']"
357931,357931,//cdn1.munpia.com/tpl/novel/core/covers/sports.jpg,골프 천재가 마법을 숨김,"['스포츠', '현대판타지']",철수영희,2023.04.08 06:14,2023.04.26 14:15,19,4167,96,100406,34,마법으로 골프치고 인생역전 세계정복.  사장님 나이스샷~!,"['#현대판타지', '#스포츠', '#마법', '#빙의', '#골프']"
359883,359883,//cdn1.munpia.com/tpl/novel/core/covers/history.jpg,내 소련에 스탈린은 한국인...,"['대체역사', '전쟁·밀리터리']",모히칸보이,2023.04.24 15:48,2023.04.26 14:14,4,323,16,16067,25,"눈떠보니 20세기, 1차세계대전 이전의 유럽이다. 그런데 레닌이 나의 팬이란다.  살려줘.","['#대체역사', '#전쟁_밀리터리']"
356912,356912,//cdn1.munpia.com/tpl/novel/core/covers/newfantasy-27.jpg,개사기급 소환수로 무한성장,"['현대판타지', '게임']",악마코,2023.03.31 20:11,2023.04.26 14:05,29,5403,328,179306,105,삼류작가로 살아온 나. 개사기급 캐릭터들을 소환하는 능력을 얻었다.,"['#현대판타지', '#게임시스템', '#사이다', '#생존', '#시스템', '#아포칼립스', '#영지', '#능력자', '#먼치킨', '#상태창']"
358476,358476,//cdn1.munpia.com/tpl/novel/core/covers/newfantasy.jpg,방구석 천재작가,"['현대판타지', '드라마']",노란안경,13 회,"3,464",,,,,99,배우들이 가장 원하는 작가가 되었다.,"['#현대판타지', '#SNS', '#천재', '#연예계', '#유튜브', '#인터넷방송', '#하렘', '#배우', '#아이돌', '#작가']"
319425,319425,//cdn1.munpia.com/files/attach/2023/0109/002/rGSmg0BwCHNITkN1.jpg,미스티끄 장편극장,"['SF', '공포·미스테리']",jinthepa..,2022.05.21 15:47,2023.04.26 13:59,139,7682,773,358369,37,"존경하는 [총수]님과 [노블]들을 모시고,  우리 [그룹]이 자랑하는 '기억재현' 버전 12.3 기술을 이용하여  실제로 있었던 [미스티끄 조우현상]들을 재구성해 만든  엄선된 '장편 기억'들만을 모아 선보입니다.  그 이름하여,  [미스티끄 장편극장]","['#현대판타지', '#퓨전', '#SF', '#공포_미스터리']"
357878,357878,//cdn1.munpia.com/tpl/novel/core/covers/fusion-14.jpg,2회차 인생은 빌런 응징이다,"['현대판타지', '퓨전']",중꺽마,28 회,"1,597",,,,,13,"2회차 인생, 이제는 빌런 충성에서 빌런 응징으로 살아가겠다. 재밌게 읽으실 수 있도록 여러 장치들을 넣었습니다. 이 글을 읽고 즐거운 시간이 되시기를 바랍니다.","['#현대판타지', '#퓨전', '#던전', '#복수', '#빙의', '#사이다', '#이능력', '#회귀', '#헌터', '#먼치킨']"
360107,360107,//cdn1.munpia.com/tpl/novel/core/covers/newfantasy-18.jpg,그레이 맨 [GRAY MAN],"['현대판타지', '드라마']",L윤,2023.04.26 13:27,2023.04.26 13:53,2,7,0,5497,0,형사 하철현. 복수를 위해 뒷세계로 복귀하다.,"['#현대판타지', '#드라마', '#격투', '#복수', '#경찰', '#마피아', '#범죄']"
356279,356279,//cdn1.munpia.com/tpl/novel/core/covers/newfantasy.jpg,사막도서관,"['현대판타지', '일반소설']",사막당,2 회,10,,,,,0,작가가 쓰고 싶은 글 써서 올리는 잡다한 이야기!  연습과 함께 글도 쓰는 최고의 일.  읽고 싶으면 읽으시죠.  지적 환영!!  심심한자 이리로 오라! 나의 도서관이 열렸으니.,"['#현대판타지', '#퓨전', '#추리', '#후회', '#작가', '#구원']"
359856,359856,//cdn1.munpia.com/files/attach/2023/0424/003/7fItY0jtQAiZbNas.png,이 파티는 답이 없다,"['판타지', '게임']",C헌,3 회,39,,,,,0,이 파티는 답이 없다,"['#판타지', '#게임', '#상태창']"
347390,347390,//cdn1.munpia.com/tpl/novel/core/covers/heroism.jpg,검연,['무협'],샛강,80 회,"80,803",,,,,136,검연,['#무협']
357452,357452,//cdn1.munpia.com/files/attach/2023/0405/003/55eW6e95TjT80EFe.jpg,당문전,['무협'],제이허빈,29 회,"71,209",,,,,1729,사천성 당가의원의 젊은 의원 당무진은 괴상한 꿈을 꾸었다. 난쟁이 대장장이가 되는 꿈을.,[]
360099,360099,//cdn1.munpia.com/files/attach/2023/0426/003/I4bW8ltS1vnzrrou.jpg,공허의대제,"['판타지', '무협']",독야몽상,2023.04.26 11:05,2023.04.26 13:17,5,19,0,27853,0,"""왕자님, 제 사문은 저 동쪽 대륙에서 마교라 불리는 곳입니다."" ""그럼 나쁜 곳 아닌가요?"" ""왕자님 기운이 마기라 불리는 데, 그럼 왕자님도 나쁜놈입니까?"" ""..."" 마나 없이 태어난 왕자 칼스. 스승을 만나 마교로 갔다 대륙을 구원하러 돌아오다.  ""누가 칼 들고 협박했냐?"" ""하셨잖아요...""  대제. 칼스의 파란만장 일대기.  표지 출처 : AI 그림 프리소스","['#퓨전', '#군주']"
359444,359444,//cdn1.munpia.com/tpl/novel/core/covers/newfantasy.jpg,각성했으니 배우한다,['현대판타지'],삼또,7 회,190,,,,,4,"비정기연재로, 정확히 말하자면 문피아 앱에서 봤을 때 어떤 느낌으로 보이는지 확인하기 위해서 올린 작품입니다.",[]
359863,359863,//cdn1.munpia.com/tpl/novel/core/covers/history-14.jpg,광해토대제,"['대체역사', '퓨전']",글파스,4 회,211,,,,,12,오늘부터 광해토대제비문 강독을 시작합니다.,"['#퓨전', '#대체역사', '#사이다', '#해양', '#해적', '#검은머리', '#망나니', '#세계사', '#조선']"
359281,359281,//cdn1.munpia.com/tpl/novel/core/covers/newfantasy.jpg,불사신이 괴담을 죽임,"['현대판타지', '판타지']",해월일화,11 회,203,,,,,6,불사가 괴담을 죽임.,"['#판타지', '#현대판타지', '#퓨전', '#초능력', '#먼치킨', '#퇴마', '#동양판타지', '#신화']"
358566,358566,//cdn1.munpia.com/files/attach/2023/0418/000/L5wxMapce8891NxW.png,천재작가가 인벤토리를 숨김,"['퓨전', '현대판타지']",은하민,16 회,"9,724",,,,,283,막강한 신비로 가득한 인벤토리를 손에 넣었다.,"['#현대판타지', '#시스템', '#천재', '#작가']"
355064,355064,//cdn1.munpia.com/tpl/novel/core/covers/heroism-20.jpg,남궁회귀,['무협'],카페人,2023.03.17 22:01,2023.04.26 12:50,42,579752,11488,222613,5682,돌아왔다. 천대받고 쫓겨나야 했던 과거로.,"['#무협', '#귀환', '#복수', '#사이다', '#회귀']"
358019,358019,//cdn1.munpia.com/tpl/novel/core/covers/fantasy.jpg,천재 플레이어는 탑의 보스...,"['판타지', '퓨전']",굿띵,2023.04.09 00:25,2023.04.26 12:50,17,591,27,92451,13,"최종보스 벨라로트가 원치 않는 인간의 몸으로 회귀했다. 너무 약해빠진 인간의 몸. 그리고 아직 아무도 각성하지 못한 처음 시작점. 모두가 죽어나갈 때, 벨라로트의 힘이 플레이어로 각성한다.","['#퓨전', '#게이트', '#빙의', '#사이다', '#시스템', '#천재', '#회귀', '#먼치킨', '#각성', '#탑등반물']"
352621,352621,//cdn1.munpia.com/tpl/novel/core/covers/newfantasy-10.jpg,의도치 않게 개한테 물렸는...,"['판타지', '현대판타지']",문호의태오,2023.02.27 22:28,2023.04.26 12:40,22,1585,51,116994,13,"본 웹소설에 등장하는 인물, 기관, 기업, 지명, 사건등은 실제와 관련 없음을 알려드립니다.","['#현대판타지', '#초능력', '#히어로', '#학생']"
